City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Winnemucca,US,2022-12-29 21:45:00,40.973,-117.7357,33.85,86,100,12.66
202,Muros,ES,2022-12-29 21:45:00,42.7762,-9.0603,59.09,91,100,20.83
203,Puerto Del Rosario,ES,2022-12-29 21:45:01,28.5004,-13.8627,69.55,68,0,10.36
204,Carnarvon,AU,2022-12-29 21:45:02,-24.8667,113.6333,78.62,48,22,15.86
205,Sinnamary,GF,2022-12-29 21:45:02,5.3833,-52.95,76.46,86,96,5.93
206,Ramshir,IR,2022-12-29 21:45:02,30.8946,49.4092,47.95,61,0,7.25
207,Constitucion,CL,2022-12-29 21:45:03,-35.3333,-72.4167,68.25,57,7,7.36
208,Unidos,PH,2022-12-29 21:45:03,8.5942,123.668,75.09,90,63,1.99
209,Ribeira Grande,PT,2022-12-29 21:45:04,38.5167,-28.7,63.77,94,75,24.16
210,Goderich,CA,2022-12-29 21:44:46,43.7501,-81.7165,46.72,81,89,18.41
211,Pangkalanbuun,ID,2022-12-29 21:45:05,-2.6833,111.6167,73.94,90,97,4.05
212,Byron Bay,AU,2022-12-29 21:45:05,-28.65,153.6167,71.94,87,96,11.43
213,Zhovti Vody,UA,2022-12-29 21:45:05,48.3473,33.5003,35.17,94,84,9.8
214,Kabompo,ZM,2022-12-29 21:45:06,-13.5927,24.2008,64.76,94,81,4.59
215,Luderitz,NA,2022-12-29 21:45:06,-26.6481,15.1594,65.55,62,0,26.37
216,Dayong,CN,2022-12-29 21:45:07,25.0209,118.2898,50.7,89,22,3.24
217,Hohhot,CN,2022-12-29 21:45:08,40.8106,111.6522,-5.51,71,0,4.47
218,Agirish,RU,2022-12-29 21:45:08,61.9247,63.0231,-17.32,100,100,0.94
219,Kaputa,ZM,2022-12-29 21:45:09,-8.4689,29.6619,66.47,95,100,4.03
220,Kamenka,RU,2022-12-29 21:45:09,51.3223,42.7678,23.88,94,74,9.04
221,Narsaq,GL,2022-12-29 21:45:10,60.9167,-46.05,1.62,61,0,7.78
222,Dingle,PH,2022-12-29 21:45:10,10.9995,122.6711,73.9,95,73,5.48
223,San Quintin,MX,2022-12-29 21:45:11,30.4833,-115.95,61.92,62,82,14.14
224,Upernavik,GL,2022-12-29 21:45:11,72.7868,-56.1549,-5.26,91,100,9.13
225,Hualmay,PE,2022-12-29 21:45:12,-11.0964,-77.6139,72.39,77,100,9.35
226,Klaksvik,FO,2022-12-29 21:45:12,62.2266,-6.589,31.12,77,97,36.01
227,Meadow Lake,US,2022-12-29 21:45:13,34.8014,-106.5436,49.48,35,36,19.13
228,Chuy,UY,2022-12-29 21:45:13,-33.6971,-53.4616,66.36,57,0,10.27
229,Zhezkazgan,KZ,2022-12-29 21:45:13,47.8043,67.7144,19.02,96,98,4.68
230,Danielskuil,ZA,2022-12-29 21:46:14,-28.1887,23.5395,67.37,56,7,12.26
231,Shiraz,IR,2022-12-29 21:46:14,29.6036,52.5388,31.44,93,0,0.0
232,Fertorakos,HU,2022-12-29 21:46:14,47.7202,16.6504,28.81,81,76,2.75
233,Norman Wells,CA,2022-12-29 21:46:15,65.282,-126.8329,-5.76,77,75,4.61
234,Margate,GB,2022-12-29 21:46:16,51.3813,1.3862,44.87,83,10,3.0
235,Kihei,US,2022-12-29 21:45:23,20.785,-156.4656,80.62,69,20,8.05
236,Torbay,CA,2022-12-29 21:45:53,47.6666,-52.7314,22.26,76,20,12.66
237,Talnakh,RU,2022-12-29 21:46:17,69.4865,88.3972,-21.42,97,34,6.2
238,Medea,DZ,2022-12-29 21:46:17,36.2642,2.7539,45.88,76,0,3.2
239,Hobyo,SO,2022-12-29 21:46:17,5.3505,48.5268,76.87,76,95,20.62
240,Nanortalik,GL,2022-12-29 21:46:18,60.1432,-45.2371,19.94,81,4,3.24
241,Ishigaki,JP,2022-12-29 21:46:18,24.3448,124.1572,68.13,94,100,12.66
242,Inuvik,CA,2022-12-29 21:46:19,68.3499,-133.7218,-4.79,81,100,3.44
243,Panaba,MX,2022-12-29 21:46:20,21.2833,-88.2667,77.68,78,93,10.94
244,Ostrovnoy,RU,2022-12-29 21:46:20,68.0531,39.5131,20.03,90,48,14.63
245,Faanui,PF,2022-12-29 21:46:21,-16.4833,-151.75,81.01,74,22,14.38
246,Dunedin,NZ,2022-12-29 21:45:54,-45.8742,170.5036,59.81,95,73,12.1
247,Cayenne,GF,2022-12-29 21:46:21,4.9333,-52.3333,78.84,78,0,6.91
248,Kutum,SD,2022-12-29 21:46:21,14.2,24.6667,53.29,30,0,9.95
249,Ketchikan,US,2022-12-29 21:46:22,55.3422,-131.6461,39.18,93,100,9.22
250,Morant Bay,JM,2022-12-29 21:46:22,17.8815,-76.4093,85.71,73,1,10.18
251,Katangli,RU,2022-12-29 21:46:23,51.7102,143.2326,-7.82,97,53,10.94
252,Cacequi,BR,2022-12-29 21:46:23,-29.8836,-54.825,87.04,16,0,9.55
253,Mecca,SA,2022-12-29 21:43:08,21.4267,39.8261,71.6,51,100,1.43
254,Tshikapa,CD,2022-12-29 21:46:24,-6.4167,20.8,69.42,95,99,0.67
255,Selikhino,RU,2022-12-29 21:46:24,50.3672,137.4996,2.41,93,100,11.14
256,Fortuna,US,2022-12-29 21:46:24,40.5982,-124.1573,55.98,83,100,11.01
257,Kathu,TH,2022-12-29 21:46:25,7.9178,98.3332,81.7,99,96,9.37
258,Teknaf,BD,2022-12-29 21:46:25,20.8624,92.3058,60.84,62,22,5.95
259,Cockburn Town,TC,2022-12-29 21:46:26,21.4612,-71.1419,80.56,69,40,13.8
260,Mirabad,AF,2022-12-29 21:46:26,30.4362,61.8383,48.31,57,0,8.16
261,Porto Novo,BJ,2022-12-29 21:42:22,6.4965,2.6036,80.42,80,83,5.95
262,Murgab,TM,2022-12-29 21:46:26,37.4966,61.9714,35.47,93,0,6.91
263,Kandiari,PK,2022-12-29 21:46:27,26.9156,68.5216,61.59,38,0,10.71
264,Kerman,IR,2022-12-29 21:46:28,30.2832,57.0788,26.46,86,0,4.61
265,Hasanpur,IN,2022-12-29 21:46:28,28.7167,78.2833,55.09,47,83,5.75
266,Carauari,BR,2022-12-29 21:46:29,-4.8828,-66.8958,77.9,85,97,2.66
267,Caborca,MX,2022-12-29 21:46:30,30.5838,-111.101,54.72,66,100,7.72
268,Castro,BR,2022-12-29 21:46:30,-24.7911,-50.0119,67.77,68,1,3.98
269,Cidreira,BR,2022-12-29 21:46:31,-30.1811,-50.2056,69.58,60,0,11.25
270,Haflong,IN,2022-12-29 21:46:31,25.1833,93.0333,50.61,78,87,0.83
271,Juneau,US,2022-12-29 21:43:31,58.3019,-134.4197,34.21,100,75,0.0
272,Kaoma,ZM,2022-12-29 21:46:32,-14.7833,24.8,67.23,85,100,6.06
273,Krasnyy Chikoy,RU,2022-12-29 21:46:32,50.3643,108.7512,-5.73,98,100,0.94
274,Ponta Do Sol,PT,2022-12-29 21:46:33,32.6667,-17.1,65.71,53,5,3.94
275,Asyut,EG,2022-12-29 21:47:33,27.181,31.1837,53.78,52,0,6.58
276,Puerto Rondon,CO,2022-12-29 21:47:34,6.2805,-71.1,86.54,49,12,8.55
277,Jaroslaw,PL,2022-12-29 21:47:34,50.0162,22.6778,42.71,75,76,18.7
278,Beringovskiy,RU,2022-12-29 21:47:35,63.05,179.3167,-12.01,88,100,15.21
279,Cangucu,BR,2022-12-29 21:47:36,-31.395,-52.6756,70.81,56,4,11.34
280,Alyangula,AU,2022-12-29 21:47:36,-13.8483,136.4192,81.95,78,100,20.31
281,Konce,MK,2022-12-29 21:47:36,41.4958,22.385,40.46,91,10,2.86
282,Yambio,SS,2022-12-29 21:47:37,4.5721,28.3955,77.68,35,100,2.51
283,Kozhva,RU,2022-12-29 21:47:37,65.1073,57.0459,-17.54,100,65,3.4
284,Kandrian,PG,2022-12-29 21:47:38,-6.2167,149.55,77.79,84,100,7.76
285,Emmen,NL,2022-12-29 21:47:38,52.7792,6.9069,44.94,88,100,13.0
286,Oussouye,SN,2022-12-29 21:47:39,12.485,-16.5469,74.01,63,100,6.78
287,Grand Gaube,MU,2022-12-29 21:47:39,-20.0064,57.6608,77.4,75,2,6.89
288,Port-Gentil,GA,2022-12-29 21:47:40,-0.7193,8.7815,82.36,83,40,4.61
289,Tomatlan,MX,2022-12-29 21:47:40,19.9333,-105.25,83.23,35,48,6.17
290,Avera,US,2022-12-29 21:47:40,33.194,-82.5271,65.71,69,0,5.53
291,Nemuro,JP,2022-12-29 21:47:41,43.3236,145.575,26.89,73,60,18.16
292,Basco,PH,2022-12-29 21:47:41,20.4487,121.9702,71.47,84,100,22.95
